,source,target,edge
676,more % patients,vital cTnI parameters,had
677,patients,also  symptoms,had
678,healthcare professionals healthcare issues,pain,thought
679,CTHs,.23,likely
680,Group,anterior  laxity,showed
681,episodes relapse existence,follow-up treatment compliance,factor
682,diagnostic curve performance,PSA reflex PSA range,extended
683,embalming  it,preservative,demonstrated
684,significant  differences,comprehensible  information,found
685,factors  year,initial tumor size,associated
686,only  that,Bilaterally risk subjects,factor
687,neonatal birth diagnosis,neonatal birth examination,missed
688,6.2  p,0.779,found
689,HR,65  years,suggest
690,95 % effect,1.81,was
691,logistic  regression,inverse  association,showed
692,However adenosine changes,substantial  decrease,greater
693,years resonance differences,greater  decreases,%
694,gradual  increase,only  quizzes,was
695,PADAM % Item,sexual  desire,decreased sexual
696,age  TLI,SUD Risk HAR group,delineated
697,men  who,=  .04,delayed
698,chorioamnionitis  p,0.019,associated
699,HI  we,correlated  factors,found
700,baseline VAS score<50 Sonography,also  detection,increased
701,years Pancreas retransplantation,impact,had
702,combined survival therapy,patients,benefit
703,October BPPV group,increased  values,showed
704,92.4  %,0.002,used
705,respectively 55 specificity,two screening tests,UFC
706,corresponding % RR,disabling  conditions,CI
707,other heart complications,general  anesthesia,were
708,baseline blood Infusion,solutions  effect,had
709,one frequency patient,burst  index,classified
710,menopausal Scale transition,eight  domains,influence
711,satisfactory  degree,satisfactory  precision,was
712,it,transplant,fear
713,types,When TNM IB,associated
714,background population Univariate analyses,GHD factors,demonstrated
715,3  %,negative  margin,accept
716,significant serum differences,38.5 EGFR-tyrosine kinase inhibitors,was
717,addition % those,psychological symptom burden,likely
718,more  RDs,protein carbohydrate hypoglycemia,found
719,evidence,median,was
720,nodes C-kit expression,HBV basis HBV prevalence,observed
721,activities r,0.826,ranged
722,mediation analysis mediation threats,67  %,explained
723,stroke  who,term GP care,pronounced
724,remaining  influence,theoretical  structure,positive
725,the weight greater,0.0001,decrease
726,later  patients,verbal % information,scored
727,positive Tumor size,significantly  DSS,affected
728,younger  ones,complicated  appendicitis,presented
729,Also  correlation,0.04,observed
730,Benefits,equal  distribution,distributed
731,family history serum lipid levels,subjects family history,investigated
732,2 r\xa0=\xa00.05 Agreement,surgical shoulder stabilization,excellent
733,information,accurately  what,found
734,observation window observation application,poor  process,associated
735,tendencies  P,= effect 0.00,controls
736,subgroup,single-agent treatment arm,was
737,Three  patients,complication  reexploration,expired
738,worsening HRQoL. course,association,find
739,Abdominal  pain,0.016,reported
740,Sublingual  varices,hypertension,indicate
741,more  children,those  hydrocephalus,had
742,Moreover sex difference,local  anesthetics,equal
743,significant speech relationship,reading span test,was
744,overall  accuracy,0.19,higher
745,groups trainee P,0.719,were
746,intensities training that,ventilatory  threshold,exercised
747,absolute  difference,independent car associations,increased
748,MSH2 germline None,molecular  results,had molecular
749,inter-observer  k,=  0.76,showed
750,treatment  follow-up,therapeutic  effect,systematic
751,TUNEL staining TUNEL We,apoptotic  changes,detect typical
752,images image P,1,detected
753,post-operative bilirubin levels,hepatobiliary  system,noted
754,However performance implementation,budgeting processes care programmes,accompanied
755,significant  associations,least  condoms,found
756,analysis  we,more  patients,found
757,kidney  three,bone metastases,had superficial
758,Further T2 presence,conversion,associated
759,12 peroneal P,0.002,higher
760,E-ZES recipients bleeding events,rates,reduced
761,follow-up detorsion sonogram,normal  ovary,showed normal
762,MAS 0.49(0.35 This,two  controls,held true
763,significant  correlations,0.47,found
764,set BCPAP gas trend,set BCPAP gas pressure,was
765,Analytically  improvement,patients study criteria,was
766,computers protocol level,need,found
767,we,upcoming  burden,required
768,Multivariable 75 analysis,significant  difference,demonstrate
769,additional  information,laparotomy,correct
770,Gestational 4- age,5-fold 4- risk,contributors
771,% % Those,higher IQ levels,showed higher
772,other IHD mortality,203  patients,related
773,Postoperative group B hospital,group A,longer
774,Qualitative  analysis,high  acceptance,showed high
775,Heated CPAP clinic humidification,common  complaint,added
776,clinic group GI clinic who,colonoscopy,felt
777,survival CRP level Albumin,significant CRP level predictors,predictor
778,postoperative nociception pain,development,favor
779,three  Tumors,136,smaller
780,P values,paired t test,compared
781,Patient angioplasty satisfaction,primary angioplasty sites,lower
782,patients  prevalence,19.2  %,reached
783,other blood pressure complications,short antivenin course,occurred
784,higher bowel repair number,surgical suture task,correlated
785,general health these,longer disease duration,older
786,Therefore  presence,allele CYP2D6 susceptibility,seems
787,significant  difference,0.046,Area
788,1.15 rate p,0.001,=
789,3.42 % differences,4.3  %,significant
790,bone infarct bone None,MRI imaging diagnoses,proved reliable
791,patients,% local failure rate,had
792,13.3 liver parenchyma %,splenomegaly,had
793,significant  difference,D-dimer serum level,determined
794,disease diabetes which,advanced  forms,mirrored
795,discriminant  analysis,90  %,predicted
796,periapical  granuloma,literature  conclusions,compared
797,1.05 adenoma P,0.04,Ã
798,lenses vision utilization,p<0.05 prevalence ratio,%
799,diabetic control group,telmisartan liver immunoreactivity,determined
800,those  who,jobs,frequent
801,colonic CD patients,significant  correlation,showed
802,education,standard  information,revealed
803,particular QoL physicians,impact,underestimated
804,social acceptability bias,findings,traced
805,respectively  differences,intravenous  CT,significant
806,ACLR failure ACLR P,0.000,â¥
807,14.5 EBP doctors,many  patients/doctor,attended
808,management,of MDT decision,considered
809,layer  patients,20  cc,present
810,timing,eating PEG problem,associated
811,times  difference,shorter  operative,revealed
812,deltaHR  r2,0.046,referred
813,meniscal  tears,associated  bone,localized
814,driving behavior driving they,vehicle,reported
815,subjects ACE differences,=  .012,were
816,exercise test exercise P,0.001,had
817,0.82 Home deaths,association,likely
818,facilities facility association,12.5  P<0.001,persisted
819,screw placement lag screw ratio,complications,was
820,cardioprotection  index,4  %,associated
821,MPV,greater  area,pointed
822,Individual cytokine concentrations,=  .007,different
823,Multiple regression analyses,recanalization rate recanalization time,showed
824,0.88  correlations,domain scores,reflected
825,who,higher  risk,carried
826,1.133 % p,0.001,predictor
827,50 % squares,0.3\xa0  mm,shows
828,significant stenosis changes,hydrophilic  guidewire,were significant
829,patients thyroid FS,intraoperative  management,alter
830,average drug abuse abuser,rapid  death,unaware
831,Analgesic  usage,pain medication,similar
832,11 bone cases,solitary bony metastasis,There
833,significant  association,.033,was
834,SPI â¥5.0 SPI presence,them screening endoscopy,diagnosed
835,(18)F-FDG-PET images (18)F-FDG-PET DSI,values,reached
836,dog Treatment participant,frequent  durations,outcomes
837,correctly  inflammation,children 99mTc-WBC IBD,predicted
838,significant point differences,point prevalence,were
839,significant  differences,areas  shifts,present
840,1- recurrence rates,MED,%
841,P,0.002,correlated
842,increased % tendency,clear,examined
843,cord injuries cord trend,clinical  range,detected
844,58.8 MRSA isolate,MIC\u2009>\u20092 mg/L.,presented
845,mean symptom scores,groups  lansoprazole,indicated
846,Organization laboratories Health Organization Physicians,peak  morbidity,reported
847,cancer DKK3 combination,CT staging lymph node involvement,increased
848,significant GP p,0.005,factor
849,min  Sensitivity,average,%
850,NT screening NT r,=  0.48,were significant
851,cancer type cancer odds,when  time,determined
852,cases  testes,scrotal  incision,palpable
853,Grandmultiparous  women,multiparous  women,risk
854,deep  platysma,triangle strap fascia,comprised
855,confounders crime rates,estimating Reporting equations,associated
856,analyses  success,relative  risk,sensitive
857,major  complications,disease,observed
858,increased strategy use,performance,attempted
859,Obsessive-Compulsive SCL symptoms,6  %,indicated
860,mothers,=  .04,had
861,who,reactive strength dominance,tended
862,pain Disc degeneration,56.8 disc %,helpful
863,respectively  recurrence,group  operation,occurred
864,74  %,significantly  incidence,revealed
865,only TKA group,enhancement,resulted
866,mg/dl 74 comparison,= P 0.001,showed
867,â¥95 this,significantly  method,outperformed
868,odds SU goal knowledge,odds SU goal,associated
869,rectal constipation diameter,normal  limits,was
870,when leisure time availability,interaction effects,showed
871,children  who,38  refusal,increased
872,%  subjects,mean  age,have
873,information  they,greater  satisfaction,tended
874,hyperlipidemia serum TC,significant  improvements,decreased
875,14 beta association,alcohol withdrawal beta E levels,appeared
876,31.7 weight p,0.02,likely
877,statistically GS-CRL difference,adverse pregnancy outcome,lower
878,cast-related % confidence complaints,development,predicted
879,380 digoxin use,74 incident years,associated
880,physical income environment,active income travel,remained steep
881,Gastric type bypass,surgery type diabetes,are certain
882,72.4 operator model,lower MSLT mean,%
883,pancreatitis post-ERCP IL-6,15.5 post-ERCP pancreatitis,found
884,17  benefit,axillary  dissection,ranged
885,T P,0.017,showed
886,urine  All,plasma-atomic emission spectrometry,considered incidental
887,detection ADMA levels,term < correlations,reduced
888,Peak Âµm levels,0.0002,higher
889,permanent  study,permanent  stomas,similar
890,tolerable  volume,anorectal  manometry,worse
891,Yet health care discordance,cultural  differences,remained
892,individual supervision variables,clinical supervision agreement,associated
893,analyse  we,good  agreement,obtained
894,1-unit  increase,composite  outcome,demonstrated
895,twelve million twelve differences,required t level,significant
896,severe metformin n,6,was
897,US-EFW was>3500 g,independent risk factor,increased
898,margins  p,0.0043,increased
899,addition  hypothyroidism,mode,affect
900,resonance  Some,lower  sensitivity,resulted
901,1  patient,subtotal  hysterectomy,occurred
902,toxic  death,0.11,occurred
903,male sex,1772  female,showed
904,group  patient,serious side effects,experienced serious
905,80 in %,antibacterial  compounds,retrieved
906,drugs Cost awareness,drugs  costs,correlate
907,negative hospital association,Longitudinal cancer analysis,found
908,sites  correlation,1309 disease onset,found
909,more EMS professionals,prevention services,likely
910,absorbed irrigation fluid,irrigation fluid irrigation variation,patients
911,Air Force Royal Air Army,62.7  %,recruits
912,surgery  Thirty-one,decision  reoperation,satisfied
913,2.0  women,group EPDS score,had
914,steroid receptors steroid correlation,VEGF,was
915,age % association,mass index diabetes association,significant
916,relapse treatment differences,mean  age,had
917,RT  women,increased  risk,dependent
918,assessment data insufficiency that,functional  outcomes,showed
919,Ninety-four  percent,patients  procedure,recommend
920,31  %,grade 2 Brooker grade ossification,found
921,2.9 serum %,serum pancreatic serum lipase,have elevated
922,patients  who,partial  prostatectomy,resulted
923,Minor  complications,wound pain,prolonged
924,MACE group MACE patients,greater precursor prevalence,appeared
925,95 % intervention,caregiver burden,reduce
926,significant % difference,95 % CI,emerged
927,histopathological  evaluation,significant collagen differences,showed significant
928,QT  changes,cardiac  arrhythmia,increased cardiac
929,less  we,higher  rates,strong
930,anemia hospital history,significantly  findings,influence
931,three  cases,third-look  procedure,converted
932,1.023  P,0.008,predictor
933,addition phase use,=  6,resulted
934,operating  time,nasal  septum,longer
935,i.e.  epilepsy,significant  change,experienced
936,significant  correlation,2.8  %,observed
937,injection  UD,findings,predictors
938,leptin-induced NADPH oxidase activation,macrophage proliferation,promoted
939,personal coping They,better  determinants,recognized
940,SLE/sSS lupus None,fatigue-a  prevalence,corresponds
941,therapeutic  approach,thanks,changed
942,physical  symptoms,alexithymic  traits,have
943,who,only  wine,similar
944,that,mossy fiber-CA3 mossy synapses,satisfy
945,open bile duct presence,0.99,different
946,infant model Ambu SIB,accurately  pressures,delivered
947,Secondary Candida outcomes,microbial  aetiologies,different
948,Resected stomach volume,bariatric  surgery,greater
949,Initial  unresectability,OS,impact
950,Moreover C-sections odds groups,ART  risk,show
951,LAGB weight loss Participation,positive MSWM effect,appear
952,weeks  expression,tubular  necrosis,up-regulated
953,deeply  groups,therapeutic  effect,fixed
954,community demand adults,supplier-induced  demand,detected
955,one  We,significant  difference,find
956,equivocal baseline which,12\xa0months,had
957,decision  which,withholding  decision,informed
958,day  presence,VAP Klompas criteria,less
959,significant  relationships,.0321,observed
960,neochords  patients,reoperation,found
961,knee osteoarthritis knee strength,0.298,similar
962,87.7 cell P,better  performance,demonstrate
963,prehospital Peer review,errors care delay,identified
964,stent  diameter,"% residual length,>10 % stenosis",predictive
965,possible  lack,test  results,raised
966,0.25 % confidence difference,â¥34 weeks,significant
967,0.8  p,0.067,significant
968,also  these,statistical  significance,retrieved
969,19  %,potentially  medications,had
970,students  curriculum,related safety attitudes,felt
971,disability health care number,higher  probability,increased
972,condition survival values,patients,18\xa0weeks
973,pancreatic blood flow,systemic blood pressure,reduced
974,BMP2 serum phosphorus,positive calcium\u2009Ã\u2009phosphorus relationships,showed positive
975,3  P,0.002,had
976,Systolic blood pressure difference,reversed  flow,higher
977,where  they,questions,participants
978,Cancer-related protocol death,also  cystectomy,noted
979,absence,patients  >,associated
980,aortic root diameter,significant  difference,larger
981,tumors Ki-67 values,0.896,differed
982,study period study Metoclopramide,successfully headache symptom(s,relieved
983,life tract they,respiratory tract infections,had fewer
984,macular  degeneration,50  %,retinopathy
985,side  p,0.033,was
986,intervention  P,0.04,significant
987,Overall Gleason patients,lower study probability,had lower
988,intraluminal  pressure,tilt Trendelenberg likelihood,recorded
989,high  prevalence,same life expectancy,is high
990,more % CI:1.35 supervision,monthly service expenses,suggested
991,Accurate corpus measurement,ultrasound  assessment,seen
992,0.54  charge,significant ICC differences,more
993,phase  difference,argument,was
994,when fiber desflurane,blood pressure,noted
995,Extreme  types,misclassification  divergence,required
996,other  structures,abdominal  testes,missed
997,characteristic  curves,predictive  values,revealed high
998,PRP group PRP difference,35  years,significant
999,P,0.021,predictors
